Trade Date,X,Filing Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
2023-06-02,D,2023-06-05 18:06:24,MSFT,List Teri,Dir,S - Sale+OE,$334.77,"-1,250","1,282",-49%,"-$418,463"
2023-05-18,,2023-05-19 18:03:59,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$316.87,"-5,000","90,632",-5%,"-$1,584,354"
2023-05-16,,2023-05-17 18:09:18,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$312.54,"-5,081","95,632",-5%,"-$1,588,024"
2023-05-09,M,2023-05-10 18:03:37,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$310.62,"-9,177","102,333",-8%,"-$2,850,529"
2023-05-05,,2023-05-08 18:22:53,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$310.05,"-5,000","111,510",-4%,"-$1,550,250"
2023-05-01,,2023-05-02 18:01:12,MSFT,Althoff Judson,"EVP, Chief Commercial Officer",S - Sale,$306.09,"-30,000","117,456",-20%,"-$9,182,700"
2023-02-28,,2023-03-02 18:12:08,MSFT,Nadella Satya,CEO,S - Sale,$248.88,"-4,767","788,625",-1%,"-$1,186,411"
2023-02-13,,2023-02-15 18:01:52,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$272.32,"-1,000","117,666",-1%,"-$272,323"
2023-02-09,,2023-02-13 18:07:31,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$269.38,"-1,000","118,666",-1%,"-$269,380"
2022-12-01,,2022-12-02 18:03:00,MSFT,Althoff Judson,"EVP, Chief Commercial Officer",S - Sale,$254.27,"-24,144","150,047",-14%,"-$6,139,124"
2022-09-12,,2022-09-13 18:02:38,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$266.25,"-5,000","112,445",-4%,"-$1,331,251"
2022-09-02,,2022-09-06 18:01:35,MSFT,Hood Amy,"EVP, CFO",S - Sale,$259.47,"-75,351","445,859",-14%,"-$19,551,087"
2022-09-01,,2022-09-02 18:03:58,MSFT,Nadella Satya,CEO,S - Sale,$257.71,"-56,999","799,152",-7%,"-$14,689,028"
2022-03-01,,2022-03-02 18:20:12,MSFT,Nadella Satya,CEO,S - Sale,$296.53,"-7,931","809,645",-1%,"-$2,351,736"
